Age,mx,qx,lx,dx,ex,xYear,Sex
0,0.004184,0.004175,100000,417.5,78.64,2020,Male
1,0.000212,0.000212,99582.5,21.1,77.97,2020,Male
2,0.000129,0.000129,99561.4,12.8,76.98,2020,Male
3,0.00011,0.00011,99548.6,11,75.99,2020,Male
4,0.000082,0.000082,99537.6,8.1,75,2020,Male
5,0.000065,0.000065,99529.5,6.5,74.01,2020,Male
6,0.000059,0.000059,99523,5.9,73.01,2020,Male
7,0.000069,0.000069,99517.1,6.8,72.02,2020,Male
8,0.00008,0.00008,99510.3,8,71.02,2020,Male
9,0.000093,0.000093,99502.3,9.2,70.03,2020,Male
10,0.000061,0.000061,99493.1,6.1,69.03,2020,Male
11,0.000048,0.000048,99487,4.8,68.04,2020,Male
12,0.000092,0.000092,99482.2,9.2,67.04,2020,Male
13,0.000092,0.000092,99473.1,9.2,66.05,2020,Male
14,0.000129,0.000129,99463.9,12.9,65.05,2020,Male
15,0.000171,0.000171,99451.1,17,64.06,2020,Male
16,0.000152,0.000152,99434,15.1,63.07,2020,Male
17,0.000254,0.000254,99418.9,25.2,62.08,2020,Male
18,0.00032,0.00032,99393.7,31.8,61.1,2020,Male
19,0.000395,0.000395,99362,39.3,60.12,2020,Male
20,0.000518,0.000518,99322.7,51.5,59.14,2020,Male
21,0.000362,0.000362,99271.2,35.9,58.17,2020,Male
22,0.000405,0.000404,99235.3,40.1,57.19,2020,Male
23,0.000464,0.000464,99195.1,46,56.22,2020,Male
24,0.000476,0.000476,99149.1,47.2,55.24,2020,Male
25,0.000549,0.000548,99102,54.3,54.27,2020,Male
26,0.000578,0.000578,99047.6,57.2,53.3,2020,Male
27,0.000571,0.000571,98990.4,56.5,52.33,2020,Male
28,0.000602,0.000602,98933.9,59.5,51.36,2020,Male
29,0.000583,0.000583,98874.3,57.6,50.39,2020,Male
30,0.000697,0.000697,98816.7,68.9,49.42,2020,Male
31,0.00072,0.00072,98747.8,71.1,48.45,2020,Male
32,0.000814,0.000813,98676.8,80.2,47.49,2020,Male
33,0.000872,0.000872,98596.5,85.9,46.52,2020,Male
34,0.000952,0.000952,98510.6,93.8,45.56,2020,Male
35,0.001033,0.001032,98416.8,101.6,44.61,2020,Male
36,0.001103,0.001102,98315.2,108.4,43.65,2020,Male
37,0.001316,0.001316,98206.8,129.2,42.7,2020,Male
38,0.001263,0.001262,98077.6,123.8,41.76,2020,Male
39,0.001503,0.001502,97953.8,147.1,40.81,2020,Male
40,0.001558,0.001557,97806.7,152.3,39.87,2020,Male
41,0.001768,0.001767,97654.5,172.5,38.93,2020,Male
42,0.0018,0.001798,97481.9,175.3,38,2020,Male
43,0.001977,0.001975,97306.7,192.2,37.07,2020,Male
44,0.002205,0.002202,97114.5,213.9,36.14,2020,Male
45,0.002404,0.002401,96900.6,232.6,35.22,2020,Male
46,0.00259,0.002586,96667.9,250,34.3,2020,Male
47,0.002825,0.002821,96417.9,272,33.39,2020,Male
48,0.003093,0.003089,96145.9,296.9,32.48,2020,Male
49,0.00341,0.003404,95848.9,326.3,31.58,2020,Male
50,0.003723,0.003716,95522.7,355,30.69,2020,Male
51,0.004011,0.004003,95167.7,381,29.8,2020,Male
52,0.004274,0.004265,94786.7,404.2,28.92,2020,Male
53,0.004559,0.004548,94382.5,429.3,28.04,2020,Male
54,0.005082,0.005069,93953.2,476.2,27.16,2020,Male
55,0.005323,0.005309,93476.9,496.3,26.3,2020,Male
56,0.005917,0.0059,92980.7,548.6,25.44,2020,Male
57,0.006362,0.006341,92432.1,586.1,24.59,2020,Male
58,0.00712,0.007095,91845.9,651.7,23.74,2020,Male
59,0.007812,0.007782,91194.3,709.7,22.91,2020,Male
60,0.008537,0.008501,90484.6,769.2,22.08,2020,Male
61,0.009114,0.009073,89715.4,814,21.27,2020,Male
62,0.010177,0.010126,88901.5,900.2,20.46,2020,Male
63,0.011025,0.010964,88001.3,964.9,19.66,2020,Male
64,0.011907,0.011837,87036.4,1030.2,18.87,2020,Male
65,0.013133,0.013048,86006.2,1122.2,18.09,2020,Male
66,0.014962,0.014851,84884,1260.6,17.33,2020,Male
