"","Population","Lower2s0025limit","Upper2s0025limit","Lower3s0001limit","Upper3s0001limit","Baseline","Row.number"
"1",0,-7.57806268216754e-05,0,0,0,-3.00708191360854e-05,0
"2",0,-6.23925340939024e-05,0,0,0,-3.00708191360854e-05,0
"3",0,-5.64613889082466e-05,0,-7.16802527289673e-05,0,-3.00708191360854e-05,0
"4",0,-5.29257229757718e-05,0,-6.6105645682768e-05,0,-3.00708191360854e-05,0
"5",0,-5.05128665722054e-05,0,-6.23013478140422e-05,0,-3.00708191360854e-05,0
"6",0,-4.87317700432754e-05,0,-5.94931317685621e-05,0,-3.00708191360854e-05,0
"7",0,-4.73475025444259e-05,0,-5.7310587585846e-05,0,-3.00708191360854e-05,0
"8",0,-4.62316766558502e-05,0,-5.55512893569698e-05,0,-3.00708191360854e-05,0
"9",0,-4.53074217006133e-05,0,-5.40940368267684e-05,0,-3.00708191360854e-05,0
"10",0,-4.45255294962976e-05,0,-5.28612445194199e-05,0,-3.00708191360854e-05,0
"11",0,-4.38528447688213e-05,0,-5.1800637166366e-05,0,-3.00708191360854e-05,0
"12",0,-4.32661040434823e-05,0,-5.08755359689417e-05,0,-3.00708191360854e-05,0
"13",0,-4.27484388296762e-05,0,-5.00593444954234e-05,0,-3.00708191360854e-05,0
"14",0,-4.22872791361328e-05,0,-4.93322441244004e-05,0,-3.00708191360854e-05,0
"15",0,-4.14982710665868e-05,0,-4.80882324183085e-05,0,-3.00708191360854e-05,0
"16",0,-4.08447241682097e-05,-1.92969140897503e-05,-4.70577992501831e-05,0,-3.00708191360854e-05,0
"17",0,-4.02918428505927e-05,-1.9849795435789e-05,-4.61860834732875e-05,0,-3.00708191360854e-05,0
"18",0,-3.98161828911725e-05,-2.03254553809984e-05,-4.54361208213072e-05,0,-3.00708191360854e-05,0
"19",0,-3.94012946003386e-05,-2.07403436576215e-05,-4.47819754256784e-05,0,-3.00708191360854e-05,0
"20",0,-3.88676756983841e-05,-2.12739625737868e-05,-4.39406303414103e-05,0,-3.00708191360854e-05,0
