Mid-2002 to mid-2020 population estimates of the very old (including centenarians) England (provisional),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Rounded to the nearest ten
,,Age,,,,,,,,,,,,,,,,,,
,,90 & over,90-99,100 & over,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105 & over
,,,,,,,,,,,,,,,,,,,,
Persons,2002,330570,324040,6540,80070,64000,51600,39640,30320,21620,15030,10240,6970,4550,2790,1680,1010,510,260,290
,2003,339620,332750,6870,82930,65990,51650,40490,30530,22760,15860,10720,7110,4700,2900,1760,1020,590,290,320
,2004,347710,340520,7190,84240,68450,53350,40750,30800,22930,16700,11180,7360,4780,3040,1860,1060,590,330,300
,2005,355450,347950,7510,83700,69830,55670,42390,31620,23170,16940,11970,7720,4930,3210,1900,1120,620,330,330
,2006,357180,349280,7900,79620,69290,56420,44090,32980,23940,17140,12170,8410,5230,3310,2030,1180,670,360,350
,2007,357580,349150,8430,75410,66750,56820,45330,34790,25190,17740,12640,8640,5840,3520,2140,1260,710,400,410
,2008,347350,338400,8950,67770,62890,54720,45300,35430,26420,18560,12820,8740,5770,3840,2250,1320,710,400,430
,2009,360120,350520,9600,74990,59660,54070,46010,37290,28280,20660,13940,9390,6230,3900,2570,1460,820,410,440
,2010,386270,376500,9770,112470,60760,47370,42000,34970,27830,20450,14670,9670,6320,4040,2400,1550,850,470,450
,2011,414410,404210,10210,109270,94050,49930,38180,33100,26880,20810,14940,10410,6640,4190,2570,1490,910,500,540
,2012,438080,427280,10800,106630,92620,78240,40590,30450,25640,20150,15230,10610,7140,4440,2730,1590,940,530,580
,2013,450410,439320,11090,104440,89590,76220,62920,31860,23220,18890,14480,10660,7050,4630,2810,1650,930,490,590
,2014,470410,458560,11840,105910,89250,75240,62610,50700,24970,17660,14120,10490,7610,4850,3060,1770,1020,560,580
,2015,474970,463210,11760,106480,88630,73080,60190,48820,38560,18280,12530,9650,6990,4820,3020,1780,1020,570,560
,2016,487850,475950,11890,108840,90310,73630,59400,48040,37880,28980,13360,8910,6620,4670,3070,1880,1050,590,620
,2017,495240,483740,11510,110250,91430,74660,59400,46830,36710,28110,21030,9330,6000,4330,2950,1880,1120,610,630
,2018,499280,488720,10560,110680,92650,75260,59850,46730,35690,27160,20000,14490,6210,3890,2670,1700,1060,600,640
,2019,517270,506350,10920,115250,94350,77680,61800,48280,36680,27350,20200,14530,10240,4240,2580,1720,1050,630,700
,2020,521070,508060,13010,118860,96030,77030,61700,48170,36460,26880,19400,13850,9690,6560,2660,1520,980,600,690
,,,,,,,,,,,,,,,,,,,,
Males,2002,76620,75900,720,21950,16350,12380,8790,6260,4210,2670,1720,990,590,330,200,110,40,20,20
,2003,80150,79420,730,22770,17360,12680,9260,6410,4470,2890,1810,1160,630,330,180,110,60,20,30
,2004,83980,83190,790,23620,18060,13570,9630,6720,4580,3130,1950,1200,740,380,190,90,70,30,20
,2005,87540,86610,930,23960,18840,14110,10310,7210,4850,3240,2080,1250,750,480,230,110,50,30,20
,2006,88920,87880,1040,23120,19020,14480,10660,7700,5170,3420,2150,1380,790,500,290,130,60,30,30
,2007,90150,89020,1120,22300,18690,14980,11080,8070,5560,3670,2370,1410,900,510,310,150,80,40,30
,2008,88470,87330,1150,20190,17860,14730,11530,8400,5840,3890,2500,1520,870,520,300,170,80,40,40
,2009,94980,93710,1270,23110,17460,15080,12110,9330,6580,4420,2760,1800,1060,570,330,190,100,40,40
,2010,103510,102160,1350,34920,17770,13090,11060,8620,6480,4420,2930,1740,1130,630,330,180,110,50,40
,2011,111800,110360,1440,34080,27710,13810,9910,8150,6190,4490,2990,1910,1120,690,340,190,100,60,60
,2012,121250,119670,1570,34020,28110,22260,10860,7630,6060,4420,3130,1970,1230,700,450,190,120,60,70
,2013,127320,125650,1670,33890,27810,22360,17290,8230,5590,4200,3010,2050,1220,740,420,260,110,60,70
,2014,135570,133750,1810,35210,28160,22650,17730,13360,6170,4070,2980,2060,1370,810,470,250,150,60,70
,2015,140350,138510,1830,36560,28660,22380,17580,13260,9820,4300,2770,1910,1260,810,470,260,140,80,70
,2016,147380,145570,1820,38410,30180,23010,17550,13480,9840,7010,2980,1860,1260,790,480,270,140,70,80
,2017,153340,151550,1790,39630,31410,24250,18010,13320,9850,7010,4880,2020,1180,760,450,270,160,70,80
,2018,157790,156060,1730,40000,32430,25140,18840,13740,9810,6970,4690,3190,1250,720,440,250,150,90,80
,2019,166230,164370,1870,42060,33210,26510,20030,14710,10300,7220,4950,3240,2150,810,450,280,150,70,100
,2020,169550,167260,2290,43920,34020,26160,20300,14970,10560,7200,4840,3230,2060,1260,460,250,150,80,90
,,,,,,,,,,,,,,,,,,,,
Females,2002,253960,248140,5820,58120,47650,39230,30850,24060,17410,12360,8520,5990,3960,2460,1480,910,460,240,270
,2003,259460,253320,6140,60160,48630,38980,31240,24130,18290,12970,8910,5950,4080,2560,1580,910,540,260,290
,2004,263730,257340,6400,60620,50390,39780,31120,24080,18350,13560,9230,6160,4050,2660,1670,970,530,300,280
,2005,267920,261340,6580,59740,51000,41560,32080,24410,18320,13700,9890,6470,4180,2730,1680,1010,570,290,310
,2006,268260,261400,6870,56500,50270,41940,33430,25290,18770,13720,10020,7020,4440,2820,1740,1050,610,330,320
,2007,267430,260130,7300,53110,48060,41840,34250,26720,19640,14070,10270,7230,4950,3000,1830,1110,630,360,370
,2008,258880,251080,7800,47580,45030,39990,33770,27020,20580,14680,10310,7220,4900,3320,1940,1150,630,360,390
,2009,265140,256810,8330,51880,42200,38990,33900,27960,21700,16240,11180,7590,5170,3330,2240,1270,720,370,400
,2010,282760,274340,8420,77550,42990,34280,30940,26350,21350,16030,11740,7930,5190,3410,2080,1370,740,420,410
,2011,302610,293850,8770,75190,66340,36120,28270,24950,20690,16320,11950,8500,5520,3490,2230,1310,810,440,480
,2012,316830,307610,9220,72610,64510,55990,29730,22820,19580,15730,12110,8640,5900,3750,2280,1400,820,470,510
,2013,323100,313670,9420,70560,61780,53860,45630,23630,17630,14690,11470,8610,5820,3890,2390,1390,810,430,520
,2014,334840,324810,10030,70700,61090,52580,44890,37340,18810,13590,11140,8430,6240,4040,2590,1520,870,500,510
,2015,334620,324700,9930,69920,59970,50710,42620,35560,28740,13980,9750,7730,5720,4010,2550,1520,870,480,500
,2016,340470,330390,10080,70430,60130,50620,41850,34560,28040,21980,10380,7050,5360,3880,2600,1620,920,520,540
,2017,341910,332190,9710,70620,60020,50410,41390,33510,26850,21110,16150,7300,4830,3570,2500,1600,950,540,550
,2018,341490,332660,8830,70680,60220,50120,41010,33000,25880,20190,15310,11310,4960,3160,2230,1450,910,500,570
,2019,351040,341990,9050,73190,61140,51170,41770,33580,26380,20140,15250,11280,8090,3430,2130,1440,900,560,600
,2020,351520,340800,10720,74940,62010,50870,41410,33200,25890,19670,14560,10620,7630,5290,2200,1270,840,520,600
,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,
"1 Please note these figures are estimates. Although they are rounded to the nearest ten people, they cannot be guaranteed to be precise even to that level of detail. ",,,,,,,,,,,,,,,,,,,,
2 The method used to produce the estimates updates the back years so figures for previous years are revised each time estimates are produced for the latest year. This is why the figures are labelled as provisional.,,,,,,,,,,,,,,,,,,,,
3 Figures may not add due to rounding.,,,,,,,,,,,,,,,,,,,,
"4 The 90 & over totals are also rounded to the nearest 10 in the table for consistency. However, please note that unrounded 90 & over totals are published in the Mid Year Estimates",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Source:  Office for National Statistics,,,,Released 23-Sept-2021,,,,,,,,,,,,,,,,
